number,count,frequency,posterior_mean,recency_score,markov_repeat_prob,current_streak,longest_streak,heuristic_score,rank
4,9,0.015151515151515152,0.016778523489932886,0.0019160863938514985,0.0,0,1,0.00781421372371339,49
73,9,0.015151515151515152,0.016778523489932886,0.001588586909311232,0.0,0,1,0.0076995889041242965,50
31,8,0.013468013468013467,0.015100671140939598,0.003419141246190506,0.0,0,1,0.0075838370313579635,51
63,4,0.006734006734006734,0.008389261744966443,0.01099714913161755,0.0,0,1,0.007210356228561115,52
91,3,0.005050505050505051,0.006711409395973154,0.013061076059802093,0.0,0,1,0.007176284762751626,53
19,8,0.013468013468013467,0.015100671140939598,0.001904059774787431,0.0,0,1,0.007053558516366887,54
17,7,0.011784511784511785,0.013422818791946308,0.004045270522207905,0.0,0,1,0.007046536387289975,55
53,8,0.013468013468013467,0.015100671140939598,0.0014819870384743408,0.0,0,1,0.006905833058657306,56
88,8,0.013468013468013467,0.015100671140939598,0.0014608039154969722,0.0,0,1,0.006898418965615227,57
23,5,0.008417508417508417,0.010067114093959731,0.00756797646880158,0.0,0,1,0.006766591687249603,58
2,6,0.010101010101010102,0.01174496644295302,0.0036698139519187887,0.0,0,1,0.006158680697014706,59
34,5,0.008417508417508417,0.010067114093959731,0.005545265985571972,0.0,0,1,0.006058643018119241,60
83,5,0.008417508417508417,0.010067114093959731,0.005481918425872299,0.0,0,1,0.006036471372224355,61
49,7,0.011784511784511785,0.013422818791946308,0.0010464542683088598,0.0,0,1,0.005996950698425309,62
32,4,0.006734006734006734,0.008389261744966443,0.007090958739111334,0.0,0,1,0.005843189591183939,63
40,7,0.011784511784511785,0.013422818791946308,0.00010236404636901042,0.0,0,1,0.005666519120746362,64
26,6,0.010101010101010102,0.01174496644295302,0.0016617513531059095,0.0,0,1,0.005455858787430198,65
98,4,0.006734006734006734,0.008389261744966443,0.005852362489471008,0.0,0,1,0.005409680903809825,66
94,6,0.010101010101010102,0.01174496644295302,0.0015288625626050556,0.0,0,1,0.0054093477107548995,67
27,5,0.008417508417508417,0.010067114093959731,0.0035576718141889056,0.0,0,1,0.0053629850581351675,68
70,6,0.010101010101010102,0.01174496644295302,0.0011466325568547124,0.0,0,1,0.005275567208742279,69
